DT,Lufttemperatur,Vindstyrke,Solskinstid,Volum
2017-05-11 14:00:00,8.725,2.775,2.7,94
2017-05-11 15:00:00,8.9,2.2666666666666666,13.7,256
2017-05-11 16:00:00,9.383333333333335,1.8333333333333333,6.7,282
2017-05-11 17:00:00,9.533333333333333,1.6666666666666667,23.3,158
2017-05-11 18:00:00,9.483333333333334,1.7833333333333332,20.3,88
2017-05-11 19:00:00,8.983333333333333,1.7333333333333334,8.7,85
2017-05-11 20:00:00,8.466666666666667,2.25,0.0,68
2017-05-11 21:00:00,7.816666666666666,1.8333333333333333,0.0,43
2017-05-11 22:00:00,6.9799999999999995,1.6600000000000001,0.0,35
2017-05-11 23:00:00,7.1000000000000005,1.1333333333333333,0.0,18
2017-05-12 00:00:00,6.816666666666666,2.2666666666666666,0.0,6
2017-05-12 01:00:00,7.283333333333334,2.5833333333333335,0.0,1
2017-05-12 02:00:00,7.5,2.9333333333333336,0.0,2
2017-05-12 03:00:00,7.483333333333333,2.1666666666666665,0.0,4
2017-05-12 04:00:00,7.383333333333334,0.7999999999999999,0.0,1
2017-05-12 07:00:00,9.540000000000001,0.8,24.7,232
2017-05-12 08:00:00,11.916666666666666,1.0333333333333334,56.3,291
2017-05-12 09:00:00,12.34,2.1399999999999997,31.7,107
2017-05-12 10:00:00,13.049999999999999,3.016666666666667,35.6,64
2017-05-12 11:00:00,13.466666666666667,3.3666666666666667,14.4,65
2017-05-12 12:00:00,13.133333333333333,2.4499999999999997,2.0,56
2017-05-12 13:00:00,13.433333333333332,2.4499999999999997,8.0,68
2017-05-12 14:00:00,13.883333333333333,2.466666666666667,18.3,119
2017-05-12 15:00:00,14.0,1.3333333333333333,0.6,249
2017-05-12 16:00:00,14.066666666666668,1.5333333333333332,11.3,310
2017-05-12 17:00:00,13.8,1.8799999999999997,28.3,147
2017-05-12 18:00:00,14.299999999999999,1.0666666666666667,60.0,94
2017-05-12 19:00:00,13.4,1.3833333333333335,60.0,78
2017-05-12 20:00:00,11.966666666666667,2.216666666666667,0.7,57
2017-05-12 23:00:00,9.466666666666667,0.5499999999999999,0.0,25
2017-05-13 00:00:00,8.700000000000001,0.8833333333333333,0.0,11
2017-05-13 02:00:00,8.0,0.8500000000000001,0.0,6
2017-05-13 03:00:00,8.92,0.6599999999999999,0.0,3
2017-05-13 04:00:00,9.4,0.7166666666666667,0.0,4
2017-05-13 05:00:00,9.783333333333333,1.2333333333333334,0.0,0
2017-05-13 07:00:00,10.216666666666667,0.9166666666666666,0.0,15
2017-05-13 09:00:00,11.216666666666667,0.5833333333333334,0.0,28
2017-05-13 10:00:00,12.083333333333334,0.9166666666666666,0.0,50
2017-05-13 13:00:00,13.966666666666667,1.4333333333333333,0.0,63
2017-05-13 14:00:00,14.9,1.4166666666666667,0.0,67
2017-05-13 16:00:00,13.9,1.8666666666666665,0.0,56
2017-05-13 17:00:00,12.816666666666668,1.5,0.0,46
2017-05-13 18:00:00,11.450000000000001,2.0500000000000003,0.0,36
2017-05-13 19:00:00,11.533333333333333,0.9,0.0,34
2017-05-13 20:00:00,11.85,0.7333333333333334,0.0,21
2017-05-13 21:00:00,11.766666666666666,0.3166666666666667,0.0,21
2017-05-13 22:00:00,11.683333333333332,1.2166666666666666,0.0,11
2017-05-13 23:00:00,11.3,1.56,0.0,14
2017-05-14 00:00:00,11.15,0.5666666666666667,0.0,7
2017-05-14 01:00:00,10.533333333333333,0.43333333333333335,0.0,7
2017-05-14 02:00:00,9.725,0.525,0.0,6
2017-05-14 04:00:00,9.483333333333333,0.06666666666666667,0.0,2
2017-05-14 05:00:00,9.700000000000001,0.5,0.0,1
2017-05-14 06:00:00,9.950000000000001,0.4666666666666666,0.0,2
2017-05-14 07:00:00,10.266666666666667,0.4666666666666666,0.0,11
2017-05-14 08:00:00,10.533333333333333,0.5666666666666667,0.0,9
2017-05-14 09:00:00,10.716666666666667,0.75,0.0,20
2017-05-14 12:00:00,12.016666666666666,1.9000000000000001,0.0,56
2017-05-14 13:00:00,12.216666666666667,2.733333333333333,0.0,46
2017-05-14 14:00:00,12.016666666666666,2.6833333333333336,0.0,46
2017-05-14 15:00:00,12.516666666666666,1.25,0.0,48
2017-05-14 17:00:00,11.950000000000001,1.1666666666666667,0.0,41
2017-05-14 18:00:00,11.799999999999999,1.2166666666666668,0.0,43
2017-05-14 19:00:00,11.683333333333332,0.6333333333333333,0.0,45
2017-05-14 21:00:00,11.383333333333333,1.0333333333333334,0.0,30
2017-05-14 23:00:00,9.416666666666666,2.35,0.0,7
2017-05-15 01:00:00,9.7,2.0500000000000003,0.0,4
2017-05-15 02:00:00,9.65,2.0,0.0,2
